Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1607014587.654003,60,1607014587,652814780,,8,/camera/realsense2_camera_manager,Compressed Depth Image Transport - Compression requires single-channel 32bit-floating point or 16bit raw depth images (input format is: rgb8).,/tmp/binarydeb/ros-melodic-compressed-depth-image-transport-1.9.5/src/codec.cpp,CompressedImage_<std::allocator<void> >::Ptr compressed_depth_image_transport::encodeCompressedDepthImage,317,"['/rosout', '/camera/realsense2_camera_manager/bond', '/tf_static', '/tf', '/camera/stereo_module/parameter_descriptions', '/camera/stereo_module/parameter_updates', '/camera/rgb_camera/parameter_descriptions', '/camera/rgb_camera/parameter_updates', '/camera/pointcloud/parameter_descriptions', '/camera/pointcloud/parameter_updates', '/diagnostics', '/camera/depth/image_rect_raw/compressedDepth', '/camera/depth/image_rect_raw/compressedDepth/parameter_descriptions', '/camera/depth/image_rect_raw/compressedDepth/parameter_updates', '/camera/depth/image_rect_raw/compressed', '/camera/depth/image_rect_raw/compressed/parameter_descriptions', '/camera/depth/image_rect_raw/compressed/parameter_updates', '/camera/depth/image_rect_raw', '/camera/depth/image_rect_raw/theora', '/camera/depth/image_rect_raw/theora/parameter_descriptions', '/camera/depth/image_rect_raw/theora/parameter_updates', '/camera/depth/camera_info', '/camera/depth/color/points', '/camera/color/image_raw/compressedDepth', '/camera/color/image_raw/compressedDepth/parameter_descriptions', '/camera/color/image_raw/compressedDepth/parameter_updates', '/camera/color/image_raw/compressed', '/camera/color/image_raw/compressed/parameter_descriptions', '/camera/color/image_raw/compressed/parameter_updates', '/camera/color/image_raw', '/camera/color/image_raw/theora', '/camera/color/image_raw/theora/parameter_descriptions', '/camera/color/image_raw/theora/parameter_updates', '/camera/color/camera_info', '/camera/extrinsics/depth_to_color', '/camera/stereo_module/auto_exposure_roi/parameter_descriptions', '/camera/stereo_module/auto_exposure_roi/parameter_updates', '/camera/rgb_camera/auto_exposure_roi/parameter_descriptions', '/camera/rgb_camera/auto_exposure_roi/parameter_updates']"
1607014587.7262082,61,1607014587,724056946,,8,/camera/realsense2_camera_manager,Compressed Depth Image Transport - Compression requires single-channel 32bit-floating point or 16bit raw depth images (input format is: rgb8).,/tmp/binarydeb/ros-melodic-compressed-depth-image-transport-1.9.5/src/codec.cpp,CompressedImage_<std::allocator<void> >::Ptr compressed_depth_image_transport::encodeCompressedDepthImage,317,"['/rosout', '/camera/realsense2_camera_manager/bond', '/tf_static', '/tf', '/camera/stereo_module/parameter_descriptions', '/camera/stereo_module/parameter_updates', '/camera/rgb_camera/parameter_descriptions', '/camera/rgb_camera/parameter_updates', '/camera/pointcloud/parameter_descriptions', '/camera/pointcloud/parameter_updates', '/diagnostics', '/camera/depth/image_rect_raw/compressedDepth', '/camera/depth/image_rect_raw/compressedDepth/parameter_descriptions', '/camera/depth/image_rect_raw/compressedDepth/parameter_updates', '/camera/depth/image_rect_raw/compressed', '/camera/depth/image_rect_raw/compressed/parameter_descriptions', '/camera/depth/image_rect_raw/compressed/parameter_updates', '/camera/depth/image_rect_raw', '/camera/depth/image_rect_raw/theora', '/camera/depth/image_rect_raw/theora/parameter_descriptions', '/camera/depth/image_rect_raw/theora/parameter_updates', '/camera/depth/camera_info', '/camera/depth/color/points', '/camera/color/image_raw/compressedDepth', '/camera/color/image_raw/compressedDepth/parameter_descriptions', '/camera/color/image_raw/compressedDepth/parameter_updates', '/camera/color/image_raw/compressed', '/camera/color/image_raw/compressed/parameter_descriptions', '/camera/color/image_raw/compressed/parameter_updates', '/camera/color/image_raw', '/camera/color/image_raw/theora', '/camera/color/image_raw/theora/parameter_descriptions', '/camera/color/image_raw/theora/parameter_updates', '/camera/color/camera_info', '/camera/extrinsics/depth_to_color', '/camera/stereo_module/auto_exposure_roi/parameter_descriptions', '/camera/stereo_module/auto_exposure_roi/parameter_updates', '/camera/rgb_camera/auto_exposure_roi/parameter_descriptions', '/camera/rgb_camera/auto_exposure_roi/parameter_updates']"
1607014587.7950537,62,1607014587,793787411,,8,/camera/realsense2_camera_manager,Compressed Depth Image Transport - Compression requires single-channel 32bit-floating point or 16bit raw depth images (input format is: rgb8).,/tmp/binarydeb/ros-melodic-compressed-depth-image-transport-1.9.5/src/codec.cpp,CompressedImage_<std::allocator<void> >::Ptr compressed_depth_image_transport::encodeCompressedDepthImage,317,"['/rosout', '/camera/realsense2_camera_manager/bond', '/tf_static', '/tf', '/camera/stereo_module/parameter_descriptions', '/camera/stereo_module/parameter_updates', '/camera/rgb_camera/parameter_descriptions', '/camera/rgb_camera/parameter_updates', '/camera/pointcloud/parameter_descriptions', '/camera/pointcloud/parameter_updates', '/diagnostics', '/camera/depth/image_rect_raw/compressedDepth', '/camera/depth/image_rect_raw/compressedDepth/parameter_descriptions', '/camera/depth/image_rect_raw/compressedDepth/parameter_updates', '/camera/depth/image_rect_raw/compressed', '/camera/depth/image_rect_raw/compressed/parameter_descriptions', '/camera/depth/image_rect_raw/compressed/parameter_updates', '/camera/depth/image_rect_raw', '/camera/depth/image_rect_raw/theora', '/camera/depth/image_rect_raw/theora/parameter_descriptions', '/camera/depth/image_rect_raw/theora/parameter_updates', '/camera/depth/camera_info', '/camera/depth/color/points', '/camera/color/image_raw/compressedDepth', '/camera/color/image_raw/compressedDepth/parameter_descriptions', '/camera/color/image_raw/compressedDepth/parameter_updates', '/camera/color/image_raw/compressed', '/camera/color/image_raw/compressed/parameter_descriptions', '/camera/color/image_raw/compressed/parameter_updates', '/camera/color/image_raw', '/camera/color/image_raw/theora', '/camera/color/image_raw/theora/parameter_descriptions', '/camera/color/image_raw/theora/parameter_updates', '/camera/color/camera_info', '/camera/extrinsics/depth_to_color', '/camera/stereo_module/auto_exposure_roi/parameter_descriptions', '/camera/stereo_module/auto_exposure_roi/parameter_updates', '/camera/rgb_camera/auto_exposure_roi/parameter_descriptions', '/camera/rgb_camera/auto_exposure_roi/parameter_updates']"
1607014587.8693109,63,1607014587,867212502,,8,/camera/realsense2_camera_manager,Compressed Depth Image Transport - Compression requires single-channel 32bit-floating point or 16bit raw depth images (input format is: rgb8).,/tmp/binarydeb/ros-melodic-compressed-depth-image-transport-1.9.5/src/codec.cpp,CompressedImage_<std::allocator<void> >::Ptr compressed_depth_image_transport::encodeCompressedDepthImage,317,"['/rosout', '/camera/realsense2_camera_manager/bond', '/tf_static', '/tf', '/camera/stereo_module/parameter_descriptions', '/camera/stereo_module/parameter_updates', '/camera/rgb_camera/parameter_descriptions', '/camera/rgb_camera/parameter_updates', '/camera/pointcloud/parameter_descriptions', '/camera/pointcloud/parameter_updates', '/diagnostics', '/camera/depth/image_rect_raw/compressedDepth', '/camera/depth/image_rect_raw/compressedDepth/parameter_descriptions', '/camera/depth/image_rect_raw/compressedDepth/parameter_updates', '/camera/depth/image_rect_raw/compressed', '/camera/depth/image_rect_raw/compressed/parameter_descriptions', '/camera/depth/image_rect_raw/compressed/parameter_updates', '/camera/depth/image_rect_raw', '/camera/depth/image_rect_raw/theora', '/camera/depth/image_rect_raw/theora/parameter_descriptions', '/camera/depth/image_rect_raw/theora/parameter_updates', '/camera/depth/camera_info', '/camera/depth/color/points', '/camera/color/image_raw/compressedDepth', '/camera/color/image_raw/compressedDepth/parameter_descriptions', '/camera/color/image_raw/compressedDepth/parameter_updates', '/camera/color/image_raw/compressed', '/camera/color/image_raw/compressed/parameter_descriptions', '/camera/color/image_raw/compressed/parameter_updates', '/camera/color/image_raw', '/camera/color/image_raw/theora', '/camera/color/image_raw/theora/parameter_descriptions', '/camera/color/image_raw/theora/parameter_updates', '/camera/color/camera_info', '/camera/extrinsics/depth_to_color', '/camera/stereo_module/auto_exposure_roi/parameter_descriptions', '/camera/stereo_module/auto_exposure_roi/parameter_updates', '/camera/rgb_camera/auto_exposure_roi/parameter_descriptions', '/camera/rgb_camera/auto_exposure_roi/parameter_updates']"
